service_id,date,exception_type
230670,20240508,1
230680,20240508,1
230685,20240508,1
230695,20240508,1
230705,20240508,1
230715,20240508,1
230725,20240508,1
230735,20240508,1
230740,20240508,1
230745,20240508,1
230750,20240508,1
230760,20240508,1
230770,20240508,1
230780,20240508,1
230790,20240508,1
230800,20240508,1
230810,20240508,1
230820,20240508,1
230830,20240508,1
229285,20240509,1
229295,20240509,1
229305,20240509,1
229315,20240509,1
229325,20240509,1
229333,20240509,1
229343,20240509,1
229353,20240509,1
229363,20240509,1
229373,20240509,1
229383,20240509,1
229393,20240509,1
229403,20240509,1
229413,20240509,1
229423,20240509,1
229433,20240509,1
229443,20240509,1
229453,20240509,1
229463,20240509,1
229473,20240509,1
229483,20240509,1
229493,20240509,1
229503,20240509,1
229513,20240509,1
229523,20240509,1
229533,20240509,1
229539,20240509,1
229549,20240509,1
229559,20240509,1
229569,20240509,1
229579,20240509,1
229585,20240509,1
229591,20240509,1
229601,20240509,1
229611,20240509,1
229621,20240509,1
229631,20240509,1
229641,20240509,1
229651,20240509,1
229661,20240509,1
229667,20240509,1
229673,20240509,1
229679,20240509,1
229699,20240509,1
229709,20240509,1
229715,20240509,1
229721,20240509,1
229727,20240509,1
229735,20240509,1
229745,20240509,1
229755,20240509,1
229765,20240509,1
229775,20240509,1
229785,20240509,1
229795,20240509,1
229805,20240509,1
229815,20240509,1
229825,20240509,1
229833,20240509,1
229839,20240509,1
229845,20240509,1
229855,20240509,1
229869,20240509,1
229879,20240509,1
229895,20240509,1
229905,20240509,1
229915,20240509,1
229925,20240509,1
229935,20240509,1
229951,20240509,1
229961,20240509,1
229971,20240509,1
229981,20240509,1
229991,20240509,1
230001,20240509,1
230011,20240509,1
230021,20240509,1
230031,20240509,1
230041,20240509,1
230051,20240509,1
230061,20240509,1
230071,20240509,1
230081,20240509,1
230087,20240509,1
230097,20240509,1
230103,20240509,1
230113,20240509,1
230123,20240509,1
230133,20240509,1
230143,20240509,1
230153,20240509,1
230163,20240509,1
230173,20240509,1
230183,20240509,1
230189,20240509,1
230199,20240509,1
230209,20240509,1
230215,20240509,1
230221,20240509,1
230227,20240509,1
230237,20240509,1
230247,20240509,1
230257,20240509,1
230267,20240509,1
230273,20240509,1
230279,20240509,1
230289,20240509,1
230295,20240509,1
230305,20240509,1
230315,20240509,1
230325,20240509,1
230335,20240509,1
230341,20240509,1
230347,20240509,1
230353,20240509,1
230363,20240509,1
230369,20240509,1
230379,20240509,1
230389,20240509,1
230399,20240509,1
230405,20240509,1
230415,20240509,1
230425,20240509,1
230435,20240509,1
230445,20240509,1
230455,20240509,1
230461,20240509,1
230467,20240509,1
230473,20240509,1
230483,20240509,1
230493,20240509,1
230499,20240509,1
230505,20240509,1
230515,20240509,1
230520,20240509,1
230530,20240509,1
230540,20240509,1
230550,20240509,1
230560,20240509,1
230570,20240509,1
230580,20240509,1
230590,20240509,1
230600,20240509,1
230610,20240509,1
230620,20240509,1
230630,20240509,1
230640,20240509,1
230650,20240509,1
230660,20240509,1
230670,20240509,1
