route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
112,2,372,LAS DEHESAS->URB.MAYORAZGO->SAN ANTONIO->LA PIEDAD,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-372,75AD1C,000000
105,2,373,LAS DEHESAS-LA FLORIDA-CAMINO POLO- LA PIEDAD-LAS DEHESAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-373,75AD1C,000000
106,2,376,LAS DEHESAS-PLAYA DE EL RINCÓN-LAS DEHESAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-376,75AD1C,000000
6,2,380,LA CORUJERA -> TIGAIGA - POR LA OROTAVA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-380,75AD1C,000000
107,2,381,PLAZA REYES CATÓLICOS- PUNTA BRAVA(LORO PARQUE)-LA LONGUERA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-381,75AD1C,000000
108,2,382,PLAZA REYES CATÓLICOS- Bº SAN ANTONIO-POR PLAZA DEL CHARCO Y MERCADO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-382,75AD1C,000000
77,2,390,PUERTO DE LA CRUZ -> REALEJO ALTO - POR LA MONTAÑA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-390,75AD1C,000000
54,2,392,ICOD DE LOS VINOS -> PUERTO DE ERJOS - POR EL TANQUE,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-392,75AD1C,000000
163,2,408,GRANADILLA -> SAN ISIDRO -> EL MÉDANO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-408,75AD1C,000000
164,2,409,SAN MIGUEL -> GRANADILLA ->SAN ISIDRO -> EL MÉDANO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-409,75AD1C,000000
165,2,410,IES GRANADILLA ->SAN ISIDRO -> EL MÉDANO-> LOS ABRIGOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-410,75AD1C,000000
166,2,411,GRANADILLA ->SAN ISIDRO -> EL MÉDANO-> MONTAÑA PELADA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-411,75AD1C,000000
167,2,412,GRANADILLA -> ROTONDA TF-1 SAN ISIDRO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-412,75AD1C,000000
168,2,415,EL FRAILE -> AEROPUERTO SUR -> SAN ISIDRO POR LAS GALLETAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-415,75AD1C,000000
79,2,416,GRANADILLA ->  LOS CRISTIANOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-416,75AD1C,000000
9,2,417,COSTA ADEJE -> GUÍA DE ISORA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-417,75AD1C,000000
117,2,418,ESTACIÓN COSTA ADEJE-LOS CRISTIANOS-VALLE SAN LORENZO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-418,75AD1C,000000
169,2,419,IES GRANADILLA -> LA ESCALONA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-419,75AD1C,000000
171,2,421,VALLE SAN LORENZO -> CAMELLA -> CABO BLANCO -> IES LAS GALLETAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-421,75AD1C,000000
228,2,424,LOS CRISTIANOS ->  EL DUQUE,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-424,75AD1C,000000
80,2,430,GRANADILLA -> SAN ISIDRO -VILLA DE ARICO-EL PORÍS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-430,75AD1C,000000
172,2,447,LOS CRISTIANOS ->COSTA ADEJE ->EL CERCO ->ADEJE (LAS TORRES),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-447,75AD1C,000000
99,2,450,COSTA ADEJE -> SAN ISIDRO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-450,75AD1C,000000
249,2,452,LA CALETA - COSTA ADEJE - SAN ISIDRO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-452,75AD1C,000000
81,2,460,ICOD DE LOS VINOS -> COSTA ADEJE - POR GUÍA DE ISORA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-460,75AD1C,000000
175,2,461,ACANTILADO DE LOS GIGANTES -> ARGUAYO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-461,75AD1C,000000
82,2,462,GUIA DE ISORA -> A. LOS GIGANTES - POR TAMAIMO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-462,75AD1C,000000
145,2,463,GRANADILLA-LOS BLANQUITOS-CHIMICHE,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-463,75AD1C,000000
83,2,467,COSTA ADEJE -> LAS GALLETAS ->POR LOS CRISTIANOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-467,75AD1C,000000
119,2,468,PARQUE LA REINA->LAS GALLETAS->PARQUE LA REINA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-468,75AD1C,000000
84,2,470,LOS CRISTIANOS -  EL MÉDANO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-470,75AD1C,000000
